ticker,description,coupon,par_value,maturity,redemption_date,exchange,current_price,52_week_high,52_week_low,volume,avg_volume,dividend_rate,dividend_yield,discount_to_par_pct,is_discount,range_width_pct,position_in_range_pct,current_yield_pct,coupon_pct,days_to_redemption,years_to_redemption,discount_num,yield_num,range_num
ABXL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes,9.875,25,2027-02-15,2027-02-15,NYSE,25.719999313354492,26.350000381469727,19.537865088560906,N/A,8187.2,N/A,N/A,-2.9,False,34.9,90.8,N/A,9.875,309,0.8,-2.9,,34.9
ADAMH,Adamas Trust Inc 9.875% Senior Notes due 10/01/2030,9.875,25,2030-10-01,2027-10-01,NGS,25.309999465942383,25.36457808026814,23.146263487745557,N/A,33067.01570680628,N/A,N/A,-1.2,False,9.6,97.5,N/A,9.875,537,1.5,-1.2,,9.6
ADAMG,Adamas Trust Inc 9.125% Senior Notes due 04/01/2030,9.125,25,2030-04-01,2027-04-01,NGS,24.78499984741211,24.989999771118164,21.073485905352836,N/A,20995.6,N/A,N/A,0.9,True,18.6,94.8,N/A,9.125,354,1.0,0.9,,18.6
ADAMI,Adamas Trust Inc. 9.125% Senior Notes due 07/01/2029,9.125,25,2029-07-01,2026-07-01,NGS,24.920000076293945,24.979999542236328,21.50069569646078,N/A,8796.8,N/A,N/A,0.3,True,16.2,98.3,N/A,9.125,80,0.2,0.3,,16.2
ADAMO,Adamas Trust Inc. 9.250% Senior Notes due 2031,9.25,25,2031-04-01,2028-04-01,NGS,24.360000610351562,26.857201028026584,23.780000686645508,N/A,40840.0,N/A,N/A,2.6,True,12.9,18.8,N/A,9.25,720,2.0,2.6,,12.9
AEFC,AEGON Funding Company LLC. 5.10% Subordinated Notes due 12/15/2049,5.1,25,2049-12-15,2024-12-15,NYSE,19.34000015258789,20.71945837221244,17.455409031277664,N/A,44872.8,N/A,N/A,22.6,True,18.7,57.7,N/A,5.1,-483,-1.3,22.6,,18.7
MGR,Affiliated Managers Group 5.875% Junior Subordinated Notes due 3/30/2059,5.875,25,2059-03-30,2024-03-30,NYSE,19.979999542236328,21.968926841619826,18.58011286849975,N/A,24120.8,N/A,N/A,20.1,True,18.2,41.3,N/A,5.875,-743,-2.0,20.1,,18.2
MGRD,Affiliated Managers Group Inc. 4.20% Junior Subordinated Notes due 9/30/2061,4.2,25,2061-09-30,2026-09-30,NYSE,14.779999732971191,16.101997213168698,13.650555178122199,N/A,11356.8,N/A,N/A,40.9,True,18.0,46.1,N/A,4.2,171,0.5,40.9,,18.0
MGRB,Affiliated Managers Group Inc. 4.75% Junior Subordinated Notes due 9/30/2060,4.75,25,2060-09-30,2025-09-30,NYSE,16.469999313354492,18.141851567151352,15.055372699817127,N/A,19327.2,N/A,N/A,34.1,True,20.5,45.8,N/A,4.75,-194,-0.5,34.1,,20.5
MGRE,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 3/30/2064,6.75,25,2064-03-30,2029-03-30,NYSE,23.09000015258789,24.372392734162915,20.979961737614566,N/A,30536.8,N/A,N/A,7.6,True,16.2,62.2,N/A,6.75,1083,3.0,7.6,,16.2
MITN,AG Mortgage Investment Trust 9.500% Senior Notes due 2/15/2029,9.5,25,2029-02-15,2026-02-15,NYSE,25.489999771118164,25.489999771118164,22.524183306420746,N/A,4802.8,N/A,N/A,-2.0,False,13.2,100.0,N/A,9.5,-56,-0.2,-2.0,,13.2
MITP,AG Mortgage Investment Trust Inc 9.500% Senior Notes due 5/15/2029,9.5,25,2029-05-15,2026-05-15,NYSE,25.520000457763672,25.649999618530273,23.63584067569885,N/A,7867.2,N/A,N/A,-2.1,False,8.5,93.5,N/A,9.5,33,0.1,-2.1,,8.5
AQNB,Algonquin Power & Utilities Corp. 6.20% Fix/Float Sub Notes 2019A Due 7/1/2079,6.2,25,2079-07-01,2024-07-01,NYSE,26.18000030517578,26.200000762939453,23.26466182342061,N/A,32352.0,N/A,N/A,-4.7,False,12.6,99.3,N/A,6.2,-650,-1.8,-4.7,,12.6
AFGC,American Financial Group 5.125% Subordinated Debentures due 12/15/2059,5.125,25,2059-12-15,2024-12-15,NYSE,18.719999313354492,20.114832451237664,17.02049928465025,N/A,11788.8,N/A,N/A,25.1,True,18.2,54.9,N/A,5.125,-483,-1.3,25.1,,18.2
AFGB,American Financial Group 5.875% Subordinated Debentures due 3/30/2059,5.875,25,2059-03-30,2024-03-30,NYSE,20.989999771118164,22.68832826724592,19.335805222902696,N/A,9834.8,N/A,N/A,16.0,True,17.3,49.3,N/A,5.875,-743,-2.0,16.0,,17.3
AFGE,American Financial Group Inc. 4.50% Subordinated Debentures due 9/15/2060,4.5,25,2060-09-15,2025-09-15,NYSE,16.68000030517578,18.791108421268405,15.211003456544416,N/A,9044.0,N/A,N/A,33.3,True,23.5,41.0,N/A,4.5,-209,-0.6,33.3,,23.5
