Date,IONQ_Open,IONQ_High,IONQ_Low,IONQ_Close,IONQ_Volume,QBTS_Open,QBTS_High,QBTS_Low,QBTS_Close,QBTS_Volume,RGTI_Open,RGTI_High,RGTI_Low,RGTI_Close,RGTI_Volume,QUBT_Open,QUBT_High,QUBT_Low,QUBT_Close,QUBT_Volume,XNDU_Open,XNDU_High,XNDU_Low,XNDU_Close,XNDU_Volume,INFQ_Open,INFQ_High,INFQ_Low,INFQ_Close,INFQ_Volume,HQ_Open,HQ_High,HQ_Low,HQ_Close,HQ_Volume
2026-01-21,51.71,52.66,45.69,48.33,31821400,27.57,28.15,24.74,26.04,44408500,25.49,26.27,22.41,23.67,48217900,12.18,12.62,10.82,11.64,28319400,,,,,0,,,,,0,,,,,0
2026-01-22,49.14,50.18,47.94,49.33,17661900,26.62,27.59,25.87,27.43,38665300,24.47,25.5,24.25,24.96,33981500,11.78,12.49,11.7,12.0,18341700,,,,,0,,,,,0,,,,,0
2026-01-23,49.24,49.51,46.6,47.25,14734200,26.95,27.2,25.23,25.63,38070400,24.95,25.21,23.25,23.45,30257000,12.1,12.12,11.15,11.46,17534200,,,,,0,,,,,0,,,,,0
2026-01-26,48.32,50.59,42.84,43.37,39551400,25.6,26.03,23.44,23.75,29293800,23.43,23.78,21.41,21.76,30100500,11.45,11.46,10.74,10.84,14361600,,,,,0,,,,,0,,,,,0
2026-01-27,44.56,46.44,43.03,45.49,25181300,24.74,24.98,23.79,24.69,41609400,22.15,22.58,21.4,22.31,27344500,10.98,11.43,10.82,11.31,10870400,,,,,0,,,,,0,,,,,0
2026-01-28,46.22,46.9,45.0,45.8,18945000,24.75,25.69,24.52,24.97,32934200,22.34,22.52,21.67,22.01,25838300,11.31,11.53,10.97,11.13,11770300,,,,,0,,,,,0,,,,,0
2026-01-29,45.86,45.86,42.16,43.24,22225500,24.5,25.02,22.47,23.22,33098100,21.49,21.58,19.27,19.85,33989300,11.01,11.04,10.11,10.18,17309900,,,,,0,,,,,0,,,,,0
2026-01-30,43.4,43.49,38.92,39.98,23741900,23.03,23.15,20.7,21.22,31259700,19.64,19.64,17.62,18.17,34008900,10.06,10.24,9.0,9.27,20020700,,,,,0,,,,,0,,,,,0
2026-02-02,40.63,40.73,37.72,38.56,21598100,21.52,21.55,20.03,20.97,28695300,18.37,18.38,17.23,17.71,25196700,9.27,9.37,8.99,9.34,11543200,,,,,0,,,,,0,,,,,0
2026-02-03,39.61,39.82,36.63,38.47,19966100,21.54,21.57,20.21,21.4,31950300,18.24,18.3,17.14,18.21,30609000,9.57,9.73,9.13,9.65,15298500,,,,,0,,,,,0,,,,,0
