Date,IONQ,QBTS,RGTI,QUBT,XNDU,INFQ,HQ
2026-01-20,50.66,27.04,24.99,11.93,,,
2026-01-21,48.33,26.04,23.67,11.64,,,
2026-01-22,49.33,27.43,24.96,12.0,,,
2026-01-23,47.25,25.63,23.45,11.46,,,
2026-01-26,43.37,23.75,21.76,10.84,,,
2026-01-27,45.49,24.69,22.31,11.31,,,
2026-01-28,45.8,24.97,22.01,11.13,,,
2026-01-29,43.24,23.22,19.85,10.18,,,
2026-01-30,39.98,21.22,18.17,9.27,,,
2026-02-02,38.56,20.97,17.71,9.34,,,
2026-02-03,38.47,21.4,18.21,9.65,,,
2026-02-04,35.34,20.11,17.19,9.13,,,
2026-02-05,30.43,17.21,14.98,7.81,,,
2026-02-06,34.99,20.72,17.71,9.43,,,
2026-02-09,35.48,21.21,17.59,9.44,,,
2026-02-10,35.19,20.44,16.97,8.96,,,
2026-02-11,33.61,19.64,16.43,8.54,,,
2026-02-12,31.3,18.82,14.99,8.19,,,
2026-02-13,34.11,19.67,16.09,8.47,,,
2026-02-17,33.18,18.44,15.59,8.05,,15.59,
2026-02-18,33.34,19.07,16.18,8.21,,14.71,
2026-02-19,33.43,19.38,16.6,8.22,,13.68,
2026-02-20,31.9,18.06,15.92,7.9,,13.29,
2026-02-23,30.78,18.05,16.02,7.88,,12.49,
2026-02-24,31.62,18.66,16.48,8.11,,12.03,
2026-02-25,33.59,19.65,17.63,8.68,,13.09,
2026-02-26,40.88,20.14,18.64,9.04,,12.89,
2026-02-27,38.37,18.78,17.42,8.41,,11.64,
2026-03-02,38.34,18.94,17.69,8.59,,11.92,
2026-03-03,37.05,18.24,16.96,7.73,,11.81,
2026-03-04,37.13,18.91,17.76,8.15,,11.8,
2026-03-05,36.02,18.83,16.97,7.72,,11.21,
2026-03-06,35.73,18.59,17.01,7.6,,10.67,
2026-03-09,35.87,19.04,17.6,7.63,,11.66,
2026-03-10,35.12,18.76,16.99,7.6,,12.15,
2026-03-11,34.27,18.91,16.94,7.62,,11.43,
2026-03-12,33.03,17.83,16.07,7.43,,10.68,
2026-03-13,32.98,17.55,16.17,7.3,,10.08,
2026-03-16,33.29,17.46,16.14,7.37,,10.55,
2026-03-17,33.31,17.47,16.22,7.54,,10.78,
2026-03-18,32.38,16.49,15.67,7.25,,9.8,
2026-03-19,31.9,16.1,15.41,7.19,,9.62,
2026-03-20,31.2,15.73,14.88,6.96,,8.81,9.85
2026-03-23,33.11,16.31,15.88,7.34,8.01,9.58,11.33
2026-03-24,32.7,15.93,15.6,7.45,8.89,10.25,11.1
2026-03-25,31.96,16.19,15.14,7.32,8.96,11.33,11.0
2026-03-26,29.84,14.65,14.41,7.12,9.72,10.65,10.89
2026-03-27,27.51,13.9,13.32,6.66,11.5,9.85,9.71
2026-03-30,26.59,12.98,12.9,6.31,7.83,8.92,8.95
2026-03-31,28.83,14.43,14.04,6.85,7.66,9.81,8.79
2026-04-01,27.79,13.7,13.5,6.64,7.5,9.41,8.59
2026-04-02,29.3,14.32,14.19,6.87,8.39,10.57,9.31
2026-04-06,29.24,14.14,14.2,6.86,8.11,10.45,9.1
2026-04-07,28.49,13.74,13.84,6.77,7.47,10.04,8.33
2026-04-08,28.99,14.57,14.53,6.93,7.53,11.32,8.37
2026-04-09,28.08,13.87,14.31,6.78,7.65,11.89,8.79
