Date,HQ,INFQ,IONQ,QBTS,QUBT,RGTI,XNDU
2026-03-12,,,,,,,
2026-03-13,,,,,,,
2026-03-16,,,,,,,
2026-03-17,,,,,,,
2026-03-18,,,,,,,
2026-03-19,,-5.49,-2.92,-5.35,-2.27,-3.2,
2026-03-20,,-10.36,-4.07,-6.0,-4.56,-5.44,
2026-03-23,,0.22,2.29,-0.48,1.87,2.03,
2026-03-24,,2.75,-0.11,-3.48,1.11,-0.99,
2026-03-25,,14.18,-0.33,0.86,0.96,-1.12,
2026-03-26,,3.13,-6.5,-7.95,-2.51,-5.81,
2026-03-27,-7.42,-0.87,-9.43,-7.8,-6.2,-8.77,
2026-03-30,-11.96,-10.28,-9.89,-11.78,-8.58,-9.15,-13.93
2026-03-31,-10.27,0.16,-0.69,1.09,0.01,0.01,-9.47
2026-04-01,-8.7,-6.48,-3.44,-5.7,-3.6,-2.98,-13.33
2026-04-02,0.62,8.17,3.82,3.49,2.56,3.73,2.61
2026-04-06,-1.05,2.51,1.55,-0.53,0.59,2.38,-5.43
2026-04-07,-5.43,3.01,1.29,0.4,1.55,1.33,-4.14
2026-04-08,-3.34,9.43,0.37,3.19,1.91,3.54,-2.66
2026-04-09,1.12,10.98,-1.72,-1.67,-0.52,0.94,-0.54
2026-04-10,0.86,12.69,0.67,1.65,3.61,3.73,12.23
2026-04-13,1.11,6.9,2.78,2.45,4.06,4.01,30.7
2026-04-14,15.26,17.21,18.74,15.79,13.08,13.05,52.64
2026-04-15,24.83,13.91,29.43,27.61,20.94,18.58,113.82
2026-04-16,13.64,14.0,26.1,24.53,16.19,15.61,121.17
2026-04-17,10.79,17.83,20.94,18.38,12.77,12.65,71.05
2026-04-20,15.05,4.64,17.61,10.55,9.75,6.4,27.97
2026-04-21,-0.35,-1.49,5.51,0.85,1.84,-2.03,-1.73
2026-04-22,0.41,-4.96,4.04,1.19,3.92,-2.35,27.64
2026-04-23,-5.27,-7.8,-6.01,-8.24,-6.02,-9.43,-6.33
2026-04-24,-2.59,-9.9,-4.81,-7.27,-3.68,-6.67,12.22
2026-04-27,-2.16,-5.92,-2.9,-5.01,-2.88,-4.24,-5.81
2026-04-28,-11.07,-7.87,-2.97,-5.61,-5.61,-4.41,2.17
2026-04-29,-7.09,-8.12,-3.98,-2.83,-6.82,-4.62,-6.19
2026-04-30,-7.41,-6.79,4.31,7.02,2.4,4.8,2.58
2026-05-01,3.31,-0.4,4.92,6.51,3.85,3.6,18.93
2026-05-04,-4.57,-1.39,2.74,7.26,6.26,4.55,-41.84
2026-05-05,-3.06,-0.82,6.11,6.98,4.75,5.18,-25.46
2026-05-06,2.16,9.11,12.02,14.1,12.23,12.43,-21.4
2026-05-07,-1.12,-3.16,-0.6,0.65,-0.69,-0.69,3.33
2026-05-08,0.95,-0.4,3.69,4.77,0.86,4.29,-10.09
2026-05-11,17.92,1.38,12.34,5.87,2.57,6.93,-0.64
