Date,IONQ,QBTS,RGTI,QUBT,XNDU,INFQ,HQ
2026-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,-1.48,-2.3,-2.12,-1.57,0.0,0.0,0.0
2026-01-26,-2.87,-2.57,-2.52,-1.89,0.0,0.0,0.0
2026-01-27,-1.01,-2.11,-2.83,-0.49,0.0,0.0,0.0
2026-01-28,-0.84,-0.5,-2.62,-1.56,0.0,0.0,0.0
2026-01-29,-6.51,-8.59,-13.4,-10.42,0.0,0.0,0.0
2026-01-30,-12.24,-13.85,-16.96,-15.92,0.0,0.0,0.0
2026-02-02,-10.85,-10.28,-14.06,-9.52,0.0,0.0,0.0
2026-02-03,-9.32,-6.02,-7.42,-5.06,0.0,0.0,0.0
2026-02-04,-14.51,-10.53,-11.17,-8.56,0.0,0.0,0.0
2026-02-05,-21.88,-19.84,-18.03,-18.53,0.0,0.0,0.0
2026-02-06,-1.67,5.32,4.67,6.98,0.0,0.0,0.0
2026-02-09,-1.77,3.84,0.37,2.3,0.0,0.0,0.0
2026-02-10,2.63,3.95,1.39,1.23,0.0,0.0,0.0
2026-02-11,-5.17,-4.65,-5.72,-7.63,0.0,0.0,0.0
2026-02-12,-5.67,-2.6,-8.21,-4.61,0.0,0.0,0.0
2026-02-13,1.31,-1.26,-1.99,-3.77,0.0,0.0,0.0
2026-02-17,-4.1,-9.0,-7.04,-8.91,0.0,0.0,0.0
2026-02-18,0.87,-0.35,2.71,-1.73,0.0,-1.98,0.0
2026-02-19,-0.76,-0.34,3.08,-2.11,0.0,-2.45,0.0
2026-02-20,-2.38,-5.07,1.17,-3.83,0.0,-6.16,0.0
2026-02-23,-7.6,-5.11,-0.26,-4.34,0.0,-7.39,0.0
2026-02-24,-2.35,0.24,2.46,0.78,0.0,-13.11,0.0
2026-02-25,5.01,6.6,9.64,8.38,0.0,-0.75,0.0
2026-02-26,26.52,6.85,12.17,10.35,0.0,-1.15,0.0
2026-02-27,11.41,-0.94,2.53,0.79,0.0,-9.0,0.0
2026-03-02,12.29,0.51,4.54,3.09,0.0,-3.66,0.0
2026-03-03,0.7,-6.02,-3.73,-10.73,0.0,-4.55,0.0
2026-03-04,2.11,0.4,3.31,-1.01,0.0,-2.5,0.0
2026-03-05,-7.48,-3.05,-6.42,-10.52,0.0,-8.49,0.0
2026-03-06,-4.34,-0.08,-0.52,-4.77,0.0,-8.31,0.0
2026-03-09,-2.98,2.0,0.75,-5.45,0.0,2.18,0.0
2026-03-10,-3.92,0.21,-1.12,-1.94,0.0,6.02,0.0
2026-03-11,-5.34,0.88,-2.38,-1.77,0.0,-0.52,0.0
2026-03-12,-7.28,-6.57,-7.18,-3.6,0.0,-7.41,0.0
2026-03-13,-5.24,-5.24,-2.95,-3.95,0.0,-10.34,0.0
2026-03-16,-2.83,-6.1,-4.96,-1.83,0.0,-3.92,0.0
2026-03-17,-1.23,-2.75,-0.86,1.06,0.0,-2.29,0.0
2026-03-18,-4.02,-8.67,-5.27,-3.79,0.0,-9.18,0.0
2026-03-19,-3.76,-7.21,-4.15,-2.88,0.0,-7.46,0.0
2026-03-20,-5.35,-8.15,-7.24,-5.96,0.0,-13.87,0.0
2026-03-23,2.77,-1.07,2.34,2.22,0.0,-0.48,5.26
2026-03-24,-0.11,-4.58,-1.33,1.43,3.85,3.26,-0.71
2026-03-25,-0.33,1.05,-1.44,1.49,0.28,19.13,3.77
2026-03-26,-8.47,-10.34,-7.62,-3.05,10.44,5.02,-1.71
2026-03-27,-12.59,-10.49,-11.66,-8.02,16.69,-0.45,-9.35
2026-03-30,-13.71,-16.13,-12.66,-11.63,-17.01,-13.57,-16.31
2026-03-31,-1.79,0.56,-0.81,-0.75,-13.08,-0.56,-14.37
2026-04-01,-4.82,-7.64,-4.12,-4.71,-18.54,-8.82,-12.16
2026-04-02,4.93,4.52,4.83,3.27,2.55,10.56,-0.01
2026-04-06,2.31,-0.63,3.16,0.9,-7.96,3.71,-1.44
2026-04-07,2.13,0.87,2.18,2.41,-5.03,4.74,-6.85
2026-04-08,0.41,3.77,4.38,2.23,-3.82,12.31,-4.8
2026-04-09,-2.17,-1.98,1.54,-0.53,-0.83,15.24,1.26
2026-04-10,0.73,2.11,4.82,4.52,15.76,17.43,1.06
2026-04-13,3.39,3.01,5.23,5.3,41.54,10.07,1.49
2026-04-14,25.03,21.17,17.6,17.6,73.33,23.76,20.38
2026-04-15,40.42,37.63,25.42,28.61,158.85,19.38,34.14
2026-04-16,37.19,34.9,22.14,23.12,173.8,19.65,20.04
2026-04-17,29.99,26.42,17.98,18.2,104.74,24.6,15.45
2026-04-20,25.26,15.74,9.61,13.87,42.57,7.61,20.96
2026-04-21,8.6,2.01,-2.18,3.2,-0.13,-1.53,0.47
2026-04-22,5.38,1.41,-3.42,4.95,35.54,-6.59,0.41
2026-04-23,-7.61,-10.81,-12.59,-7.64,-7.9,-10.41,-6.86
2026-04-24,-6.43,-9.88,-9.26,-4.9,16.35,-13.68,-3.32
2026-04-27,-4.44,-7.4,-6.34,-4.3,-7.54,-8.64,-3.4
2026-04-28,-3.87,-7.52,-5.86,-7.32,3.7,-10.68,-14.52
2026-04-29,-5.34,-4.3,-6.28,-9.33,-9.11,-11.13,-9.93
2026-04-30,5.3,8.86,5.9,2.72,3.03,-9.4,-10.3
2026-05-01,6.59,8.96,4.83,5.01,24.84,-1.0,3.94
2026-05-04,3.99,9.94,6.08,8.33,-55.01,-2.03,-6.21
2026-05-05,8.13,9.64,6.96,6.53,-36.12,-1.13,-3.8
2026-05-06,16.36,19.31,16.9,16.69,-31.56,11.87,2.59
2026-05-07,-0.08,1.62,-0.25,-0.27,2.61,-3.65,-1.28
2026-05-08,4.77,6.39,5.65,1.31,-14.59,-0.61,1.08
2026-05-11,16.37,7.77,9.15,3.33,-0.33,1.61,23.67
2026-05-12,10.3,-0.75,0.25,21.03,-6.55,6.8,10.31
2026-05-13,5.43,-6.94,-5.42,4.62,0.27,3.31,15.1
2026-05-14,8.67,-1.45,1.03,14.84,-2.49,10.23,5.26
2026-05-15,-4.17,-9.65,-7.29,-4.62,-9.68,-4.8,4.61
2026-05-18,-10.29,-13.06,-12.26,-8.93,-16.19,-12.25,-7.96
2026-05-19,-10.86,-14.16,-13.04,-16.54,-15.06,-17.05,-5.29
2026-05-20,1.75,-2.66,-2.39,-5.86,7.03,-6.5,-8.69
2026-05-21,12.57,29.59,27.18,12.06,6.04,23.59,5.14
2026-05-22,21.31,40.64,45.05,20.4,16.34,32.94,19.66
2026-05-26,16.13,27.36,30.42,12.04,30.09,25.61,-0.69
2026-05-27,16.1,17.26,19.75,6.41,19.43,14.52,2.05
2026-05-28,16.96,19.26,23.02,10.72,12.7,26.7,7.48
2026-05-29,13.08,9.57,3.5,1.48,-2.03,0.8,8.12
2026-06-01,3.38,0.83,0.66,5.18,-0.57,11.43,-1.61
2026-06-02,6.12,4.38,3.69,1.1,-0.51,16.74,11.2
2026-06-03,-2.12,-5.69,-7.0,-6.55,-12.3,2.02,-3.21
2026-06-04,-5.81,-3.61,-5.1,-6.74,-10.07,-4.52,-7.53
2026-06-05,-19.01,-18.9,-19.57,-16.2,-18.92,-18.11,-19.46
2026-06-08,-1.88,-2.72,-6.07,-5.3,-9.28,-9.51,-4.96
2026-06-09,-15.12,-15.51,-18.59,-15.91,-18.31,-19.34,-12.62
2026-06-10,-5.98,-6.71,-9.07,-5.88,-10.71,-10.04,-10.88
2026-06-11,-5.34,-6.01,-4.08,-3.84,-3.7,-5.25,-5.09
2026-06-12,1.2,-2.24,4.07,1.56,-5.83,-5.57,4.26
2026-06-15,4.05,10.11,10.77,12.51,15.62,7.62,67.87
2026-06-16,-5.18,-2.38,-1.71,-0.41,4.55,-6.71,52.8
2026-06-17,-4.54,-3.34,-0.66,-1.02,11.18,-1.59,91.44
2026-06-18,-2.2,1.71,0.92,5.05,0.24,-3.8,103.43
2026-06-22,3.5,1.88,2.61,2.58,-2.44,6.45,120.16
2026-06-23,0.11,2.62,-0.25,0.76,-8.75,14.24,36.15
2026-06-24,-6.46,-7.24,-8.24,-8.08,-9.61,-0.99,6.43
2026-06-25,-9.66,-7.36,-10.34,-9.85,-2.71,-8.74,-11.5
2026-06-26,-10.62,-4.16,-9.86,-8.43,-11.62,-2.59,-22.92
2026-06-29,1.14,2.16,-0.82,1.85,-7.2,-1.03,-17.43
2026-06-30,-0.91,2.31,-1.25,-0.69,2.88,-4.78,3.77
2026-07-01,-0.97,1.1,-1.86,-0.86,1.47,-6.06,3.17
2026-07-02,-6.25,-2.51,-5.6,-5.36,-0.22,-7.38,-6.27
2026-07-06,-4.08,-2.3,-3.08,0.67,1.14,-5.41,-2.67
2026-07-07,-12.12,-10.2,-11.95,-9.76,-2.29,-10.78,-5.61
2026-07-08,-8.45,-8.57,-4.93,-3.86,-4.49,-7.55,-3.96
2026-07-09,-7.8,-4.28,-4.46,-0.11,-2.8,-3.65,-3.09
2026-07-10,-8.0,-7.38,-4.04,-4.04,-2.63,-6.73,-4.06
2026-07-13,-14.95,-11.79,-10.82,-10.8,-8.33,-13.56,-10.22
2026-07-14,-7.93,-6.12,-0.9,-3.05,0.94,-5.88,-8.18
