ticker,entry_date,exit_date,entry_price,exit_price,shares,return_pct,gross_pl,exit_reason
RGTI,2026-05-22,2026-05-29,26.42,25.54,189,-3.33,-166.32,low_score
IONQ,2026-05-29,2026-06-01,72.07,69.28,69,-3.87,-192.51,low_score
INFQ,2026-06-01,2026-06-03,17.69,17.41,273,-1.58,-76.44,trailing_stop
INFQ,2026-06-01,2026-06-03,17.69,17.41,273,-1.58,-76.44,trailing_stop
INFQ,2026-06-01,2026-06-04,17.69,16.95,273,-4.18,-202.02,trailing_stop
INFQ,2026-06-01,2026-06-04,17.69,16.95,273,-4.18,-202.02,trailing_stop
INFQ,2026-06-01,2026-06-05,17.69,14.56,273,-17.69,-854.49,trailing_stop
INFQ,2026-06-01,2026-06-05,17.69,14.56,273,-17.69,-854.49,trailing_stop
INFQ,2026-06-01,2026-06-08,17.69,14.81,273,-16.28,-786.24,trailing_stop
INFQ,2026-06-01,2026-06-08,17.69,14.81,273,-16.28,-786.24,trailing_stop
INFQ,2026-06-01,2026-06-09,17.69,13.71,273,-22.5,-1086.54,trailing_stop
INFQ,2026-06-01,2026-06-09,17.69,13.71,273,-22.5,-1086.54,trailing_stop
INFQ,2026-06-01,2026-06-10,17.69,13.58,273,-23.23,-1122.03,trailing_stop
INFQ,2026-06-01,2026-06-10,17.69,13.58,273,-23.23,-1122.03,trailing_stop
INFQ,2026-06-01,2026-06-11,17.69,14.12,273,-20.18,-974.61,trailing_stop
