date,stocks_scored,candidates_found,breakout_candidates_found,status,notes
2026-03-18,0,0,warning,No rows survived filtering/scoring
2026-03-18,0,0,warning,No rows survived filtering/scoring
2026-03-18,0,0,warning,No rows survived filtering/scoring
2026-03-18,0,0,warning,No rows survived filtering/scoring
2026-03-18,0,0,warning,No rows survived filtering/scoring
2026-03-18,0,0,warning,No rows survived filtering/scoring
2026-03-18,203,29,success,Run complete
2026-03-18,203,27,success,Run complete
2026-03-19,203,29,success,Run complete
2026-03-30,203,25,10,success,Run complete
2026-03-31,203,31,14,success,Run complete
2026-03-31,203,31,14,success,Run complete
2026-03-31,203,31,14,success,Run complete
2026-03-31,203,31,14,success,Run complete
2026-03-31,203,31,14,success,Run complete
2026-03-31,203,31,14,success,Run complete
2026-04-01,203,30,19,success,Run complete
2026-04-01,203,29,24,success,Run complete
2026-04-01,203,29,24,success,Run complete
2026-04-01,203,29,24,success,Run complete
2026-04-01,203,29,24,success,Run complete
2026-04-01,203,29,24,success,Run complete
2026-04-01,203,29,24,success,Run complete
2026-04-02,203,24,18,success,Run complete
2026-04-02,203,23,19,success,Run complete
2026-04-02,203,24,18,success,Run complete
2026-04-02,203,24,17,success,Run complete
2026-04-02,202,22,17,success,Run complete
2026-04-02,202,23,17,success,Run complete
2026-04-02,202,23,19,success,Run complete
2026-04-07,202,26,16,success,Run complete
2026-04-07,201,29,21,success,Run complete
2026-04-07,201,29,21,success,Run complete
2026-04-08,201,31,17,success,Run complete
2026-04-08,201,31,17,success,Run complete
2026-04-09,200,34,16,success,Run complete
2026-04-09,200,34,16,success,Run complete
2026-04-10,200,30,16,success,Run complete
2026-04-10,200,30,16,success,Run complete
2026-04-10,200,30,16,success,Run complete
2026-04-10,200,30,16,success,Run complete
2026-04-10,200,30,16,success,Run complete
2026-04-10,200,30,16,success,Run complete
2026-04-13,200,35,25,success,Run complete
2026-04-13,200,35,25,success,Run complete
2026-04-14,200,34,28,success,Run complete
2026-04-14,200,34,28,success,Run complete
2026-04-15,199,33,25,success,Run complete
2026-04-15,199,33,25,success,Run complete
2026-04-16,199,37,21,success,Run complete
2026-04-16,199,37,20,success,Run complete
2026-04-16,199,37,20,success,Run complete
2026-04-17,199,40,23,success,Run complete
2026-04-17,199,40,23,success,Run complete
2026-04-17,199,40,23,success,Run complete
2026-04-17,199,40,23,success,Run complete
2026-04-17,199,40,23,success,Run complete
2026-04-17,199,40,23,success,Run complete
2026-04-20,199,45,23,success,Run complete
2026-04-20,199,45,23,success,Run complete
2026-04-21,199,46,20,success,Run complete
2026-04-21,199,46,20,success,Run complete
2026-04-22,199,43,22,success,Run complete
2026-04-22,199,44,23,success,Run complete
2026-04-23,199,37,16,success,Run complete
2026-04-23,199,37,16,success,Run complete
2026-04-24,199,33,16,success,Run complete
2026-04-24,199,33,16,success,Run complete
