ticker,breakout_score,breakout_signal,current_price,ma_20,ma_50,compression_ratio,vol_ratio,proximity_20d,extension_50ma,date
RDDT,4,Breakout Watch,134.28,136.75,153.45,0.709,1.0,-12.7,-12.5,2026-03-31
CDNS,4,Breakout Watch,276.74,288.54,294.07,0.798,0.85,-11.1,-5.9,2026-03-31
SNPS,4,Breakout Watch,393.43,419.73,439.1,0.83,0.94,-12.1,-10.4,2026-03-31
ARM,3,Weak Setup,148.74,130.07,123.57,1.321,1.93,-10.8,20.4,2026-03-31
ADSK,3,Weak Setup,238.57,248.17,245.57,0.913,0.78,-9.9,-2.8,2026-03-31
MRVL,3,Weak Setup,98.75,90.14,83.91,1.253,0.99,-1.9,17.7,2026-03-31
MPWR,3,Weak Setup,1082.54,1067.48,1117.63,0.899,0.86,-4.0,-3.1,2026-03-31
MCHP,3,Weak Setup,64.12,64.41,71.72,0.891,0.87,-11.8,-10.6,2026-03-31
ANET,2,Weak Setup,122.25,132.26,134.82,0.962,0.94,-13.8,-9.3,2026-03-31
ON,2,Weak Setup,61.11,59.79,63.32,0.951,0.94,-5.4,-3.5,2026-03-31
ADI,2,Weak Setup,315.92,315.35,323.59,0.969,0.79,-8.8,-2.4,2026-03-31
LRCX,2,Weak Setup,211.05,218.82,226.86,1.025,0.88,-12.6,-7.0,2026-03-31
KLAC,2,Weak Setup,1455.18,1459.54,1474.08,1.033,0.81,-8.0,-1.3,2026-03-31
AMAT,2,Weak Setup,337.1,347.36,344.6,1.028,0.91,-11.3,-2.2,2026-03-31
