timestamp,price,volume,candle_range,candle_body,vol_5_avg,range_5_avg,vol_change_pct,range_change_pct
2026-06-04T08:45:00Z,253.16,68927,2.94,-2.22,78581,2.37,-66.0,-50.3
2026-06-04T08:50:00Z,251.67,111871,1.92,-1.53,71931,2.07,-43.4,-49.1
2026-06-04T08:55:00Z,253.28,79751,2.29,1.66,72372,2.15,-38.0,-19.8
2026-06-04T09:00:00Z,249.12,166859,4.53,-4.3,96049,2.77,-6.9,13.4
2026-06-04T09:05:00Z,249.39,152861,2.48,0.12,116053,2.83,19.6,11.4
2026-06-04T09:10:00Z,243.34,191416,6.41,-6.09,140551,3.53,78.9,48.8
2026-06-04T09:15:00Z,244.41,179212,2.78,1.01,154019,3.7,114.1,79.0
2026-06-04T09:20:00Z,247.17,196518,3.35,2.5,177373,3.91,145.1,81.6
2026-06-04T09:25:00Z,248.0,93310,1.84,1.0,162663,3.37,69.4,21.9
2026-06-04T09:30:00Z,250.25,105444,3.03,2.05,153180,3.48,32.0,22.9
2026-06-04T09:35:00Z,248.66,109208,2.19,-1.47,136738,2.64,-2.7,-25.2
