entry_date,exit_date,ticker,shares,entry_price,exit_price,gross_profit,commission,net_profit,exit_reason
2026-05-29,2026-05-29,SOXL,6,220,224.49,26.94,1.5,25.44,TAKE_PROFIT
2026-05-29,2026-05-29,SOXL,6,227.04,223.4,-21.78,1.5,-23.28,STOP_LOSS
2026-05-28,2026-05-29,SOXX,2,569.97,570.8,1.66,1.5,0.16,STOP_LOSS
2026-06-02,2026-06-02,SOXL,7,244.46,252.18,54.04,1.5,52.54,TAKE_PROFIT
2026-06-02,2026-06-02,SOXL,7,251.25,254.1,19.95,1.5,18.45,TAKE_PROFIT
2026-06-02,2026-06-02,SOXL,7,256.9,260.18,22.96,1.5,21.46,TAKE_PROFIT
2026-06-03,2026-06-03,SOXL,7,264.46,276.93,87.29,1.5,85.79,TAKE_PROFIT
2026-06-03,2026-06-03,SOXX,2,613.23,614.87,3.28,1.5,1.78,TAKE_PROFIT
2026-06-03,2026-06-03,SOXL,7,280.22,283.21,20.93,1.5,19.43,TAKE_PROFIT
2026-06-03,2026-06-03,SOXL,7,279.35,280.27,6.44,1.50,4.94,TAKE_PROFIT
